name,year,magnitude,focal_depth,damage
"TURKEY:  ERZURUM, KARS, KHORASAN, PASINLER, NARMAN",1983,6.9,12.0,1142.0
"CHINA:  E, HEZE-DONGMING, SHANDONG PROVINCE",1983,5.3,19.0,2200.0
BELGIUM,1983,5.0,10.0,30.0
"ITALY:  N, PARMA",1983,5.0,37.0,100.0
HAWAII: KAPAPALA,1983,6.7,12.0,6.0
GUINEA:  GAOUAL-KOUMBIA,1983,6.2,11.0,1436.0
"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN",1983,7.2,215.0,483.0
INDONESIA:  SULAWESI:  W,1984,6.6,33.0,89.0
"AFGHANISTAN:  KHOROG, JALALABAD; PAKISTAN",1984,5.8,33.0,35.0
PAKISTAN-NW AFGHANISTAN:  HINDU KUSH: CHITRAL-LANDI,1984,6.1,208.0,13.0
UZBEKISTAN:  GAZLI,1984,7.0,15.0,100.0
PAPUA NEW GUINEA:  KARKAR,1984,6.6,28.0,11.0
CALIFORNIA:  CENTRAL:  MORGAN HILL,1984,6.1,8.0,27.0
ITALY:  CENTRAL:  :PERUGIA-ASSISSI-GUBBIO,1984,5.3,12.0,200.0
ITALY:  S CENTRAL:  ABRUZZO,1984,5.8,10.0,100.0
ITALY:  S CENTRAL:  ABRUZZO,1984,5.2,14.0,63.0
INDONESIA:  N SUMATERA:  TARUTUNG,1984,5.2,33.0,123.0
BALKANS NW:  SERBIA,1984,4.7,13.0,2.0
"TURKEY:  E, ERZURUM, OLUR-SENKAYA",1984,6.4,10.0,38.0
GREECE:  MESSINA,1984,4.5,27.0,1.0
"TURKEY:  E, SENKAYA",1984,5.3,60.0,35.0
"INDIA:  ASSAM, CACHAR DISTRICT",1984,5.6,23.0,100.0
"ARGENTINA:  WEST CENTRAL, MENDOZA, LA LIGUA",1985,6.9,5.0,238.0
"IRAN:  S, FIRUZABAD-JAHROM",1985,5.3,37.0,80.0
"CHILE:  CENTRAL COAST, SAN ANTONIO, VALPARAISO",1985,8.0,40.0,2575.0
GUADELOUPE,1985,6.3,13.0,6.0
"PHILIPPINES:  PAGADIAN,  ZAMBOANGA",1985,6.5,33.0,25.0
CHINA:  YUNNAN PROVINCE,1985,5.8,5.0,300.0
"PHILIPPINES:  LUZON:  BENGUET PROVINCE,  BAGUIO",1985,6.1,33.0,11.0
"AFGHANISTAN:  HINDU KUSH:  CHITRAL, SWAT",1985,6.6,99.0,38.0
PERU:  COAST:  CHIMBOTE,1985,6.1,57.0,100.0
CHINA:  S XINJIANG:  WUQUA-SHUFU,1985,7.5,7.0,162.0
INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI,1985,6.3,10.0,7.0
MEXICO:  MICHOACAN:  MEXICO CITY,1985,8.1,28.0,30000.0
BALKANS NW:  MACEDONIA:  DEMIR KAPIJA-NEGOTINO,1985,5.0,7.0,16.0
"TAJIKISTAN:  KAPTOLYUK, KAYRAKKUM, GAFUROV",1985,5.9,16.0,80.0
"TURKEY:  ERZURUM, KARS, AGRI, ARTVIN",1985,4.2,33.0,14.0
"NICARAGUA:  RIVAS,  MASAYA",1985,6.0,22.0,6.0
ITALY:  SICILY,1985,4.3,10.0,14.0
"INDONESIA:  SUMATERA:  S, HAHAT, MUARAENIM",1986,5.0,33.0,2.0
PERU:  CUZCO,1986,4.6,51.0,170.0
"INDIA:  KASHMIR:  DHARMSALA,  LAHORE, PAKISTAN",1986,5.3,33.0,30.0
"TURKEY:  DOGANSEHIR-GOLBASHI, KAPIDERE",1986,5.9,10.0,100.0
TAIWAN:  HUALIEN,1986,6.4,19.0,5.0
VENEZUELA,1986,6.2,19.0,45.0
CALIFORNIA:  PALM SPRINGS,1986,6.0,12.0,29.0
"IRAN:  S, FARS PROVINCE, MAMASANI, SHIRAZ",1986,5.6,10.0,4.0
"ROMANIA:  BUCHAREST, KISHINEV-KAGUL",1986,6.9,132.0,558.0
"GREECE:  KALAMI, LAKONIA, ZAKINTHOS",1986,5.8,11.0,300.0
"GREECE:  S, MESSINIA, BERGA, NEDOUSA",1986,4.8,10.0,37.0
EL SALVADOR:  SAN SALVADOR,1986,5.4,7.0,10000.0
"TURKEY:  AYDIN, DENIZLI-IZMIR-MANISA",1986,5.5,5.0,3.0
"TAIWAN:  TAIPEI, HUALIEN",1986,7.8,34.0,44.0
"BALKANS NW:  BOSNIA-HERZEGOVINA: STRMICA, KNIN",1986,5.5,30.0,12.0
BULGARIA:  VELIKO TURNOVO-TURGOVISHTE,1986,5.6,21.0,60.0
"ALGERIA:  MOHAMMADIA, QUED, FODDA, TISSEMSILT",1987,4.3,10.0,7.0
"NEW ZEALAND:  NORTH ISLAND, WHAKATANI, EDGECUMBE",1987,6.6,19.0,25.0
"JAPAN:  KYUSHU:  MIYAZAKI, NAZE",1987,6.7,54.0,5.0
"INDONESIA:  SUMATERA:  N, TARUTUNG-LAKE TOBA,",1987,6.6,11.0,22.0
PHILIPPINES:  MINDANAO:  TALAKAG-MALAYBALAY,1987,5.2,32.0,2.0
"IRAN:  W, NAHAVAND-HAMADEN-TUYSARKAN",1987,4.6,41.0,50.0
CHINA:  GANZHOU PROVINCE:  XUNWU,1987,4.9,29.0,84.0
"CHILE:  ARICA, IQUIQUE",1987,6.9,70.0,112.0
"CHILE:  ARICA; PERU:  AREQUIPA, TACNA",1987,6.4,37.0,1.0
ITALY:  PORTO SAN GIORGIO-PERMO-PDEASO AREA,1987,4.6,19.0,2.0
"ECUADOR:  AMBATO, LATACUNGA, RIOBAMBA",1987,6.2,10.0,12.0
CALIFORNIA:  WHITTIER,1987,5.7,10.0,200.0
"INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG",1987,6.5,33.0,108.0
